comment_id,video_id,video_name,is_reply,parent_id,is_own,author,author_channel_id,published_at,updated_at,like_count,reply_count,first_seen,last_seen,text
UgwhG1L9LuKfom6zhkV4AaABAg,0qXLYmZXAx0,Vivaldi - Spring I,0,,0,@starlight444,UCa0LdOSJeD2-jzjdJ3sWaJw,2026-05-19T08:22:36Z,2026-05-19T08:22:36Z,0,0,2026-06-16,2026-06-17,HATSUNE MIKU?!?!?!
UgxJjrTh84pNXlDMdOt4AaABAg,DVIYl09zX-w,Joplin - Entertainer,0,,0,@nickh7856,UC_qriEAYIx_Vxfej8hlFT0w,2026-05-21T23:57:54Z,2026-05-21T23:57:54Z,0,0,2026-06-16,2026-06-17,A classic
Ugzl7rNzvCIu0vD4oT94AaABAg,DVIYl09zX-w,Joplin - Entertainer,0,,0,@JumboJB23-s5s,UCtyebZXrZ-EqVoHiDjDn2ew,2026-05-22T01:09:00Z,2026-05-22T01:09:00Z,0,0,2026-06-16,2026-06-17,starting to do a sturdy to this beat
UgxJBHq-LG4wEimlGmZ4AaABAg,PiR9hy6xmGQ,Mozart - K.265,0,,0,@Christopher_D_Ano,UCjFZSSognMSdUkHdTZFSpEw,2026-05-29T12:36:03Z,2026-05-29T12:36:03Z,0,0,2026-06-16,2026-06-17,wow genius!!
UgwPLCdLrm-OAbRo9-l4AaABAg,9EvpHXE3D1s,Chopin - Nocturne Op.9-2,0,,1,@AtelierMikuACappella,UC_SN5FvHsLFRvgK56gict5g,2026-06-01T11:10:04Z,2026-06-01T11:10:04Z,0,0,2026-06-16,2026-06-17,🌙 Thank you for listening! ⏭: Canon in D
Ugzf5EjkMZ2A-RF4qwt4AaABAg,B9ENEwjgAhc,Pachelbel - Canon in D,0,,0,@Christopher_D_Ano,UCjFZSSognMSdUkHdTZFSpEw,2026-06-04T09:47:48Z,2026-06-04T09:47:48Z,1,0,2026-06-16,2026-06-17,this is the best
UgxcrvErQSCblUmMib14AaABAg,B9ENEwjgAhc,Pachelbel - Canon in D,0,,1,@AtelierMikuACappella,UC_SN5FvHsLFRvgK56gict5g,2026-06-04T10:17:47Z,2026-06-04T10:17:47Z,0,0,2026-06-16,2026-06-17,🕊 Thank you for listening!! ⏭: Dance of the Sugar Plum Fairy
UgwT6Gh0DGjbeu5vaqF4AaABAg,759VCWOtC2w,Tchaikovsky - Sugar Plum Fairy,0,,1,@AtelierMikuACappella,UC_SN5FvHsLFRvgK56gict5g,2026-06-08T09:54:03Z,2026-06-08T09:54:03Z,0,0,2026-06-16,2026-06-17,🍬 Thank you for listening! ⏭: Boccherini's Minuet
UgwPuq1-lipahI-WSJV4AaABAg,759VCWOtC2w,Tchaikovsky - Sugar Plum Fairy,0,,0,@RotsenJM95,UCEJlyNzadTVv8kIwzFntodA,2026-06-09T12:47:53Z,2026-06-09T12:47:53Z,0,1,2026-06-16,2026-06-17,"Great, now The queen of the night please."
UgwPuq1-lipahI-WSJV4AaABAg.AXpuhk5Kgl5AXpyjlXm6EV,759VCWOtC2w,Tchaikovsky - Sugar Plum Fairy,1,UgwPuq1-lipahI-WSJV4AaABAg,1,@AtelierMikuACappella,UC_SN5FvHsLFRvgK56gict5g,2026-06-09T13:23:06Z,2026-06-09T13:23:06Z,0,0,2026-06-16,2026-06-17,"Noted!  Can't promise when, but the Queen is coming soon"
UgyEfoXLpeczTFclTdR4AaABAg,759VCWOtC2w,Tchaikovsky - Sugar Plum Fairy,0,,0,@dalexei5287,UC4SNUOyXnBA1PNp-HXptu3Q,2026-06-10T01:52:53Z,2026-06-10T01:52:53Z,0,0,2026-06-16,2026-06-17,This is definitely a new way to hear Miku
Ugzy9JlRXsxEY0NppTZ4AaABAg,10ZSa-TPOC4,Boccherini - Minuet,0,,1,@AtelierMikuACappella,UC_SN5FvHsLFRvgK56gict5g,2026-06-11T12:16:54Z,2026-06-11T12:16:54Z,0,0,2026-06-16,2026-06-17,re-uploaded to fix a minor audio glitch!😅 💃 Thank you for listening!  ⏭: Lascia ch'io pianga
UgySV_t1DkyIrI7dyfR4AaABAg,10ZSa-TPOC4,Boccherini - Minuet,0,,0,@tinfoilhomer909,UCkRX3c4OlThsBW2hVCNEhcQ,2026-06-11T13:21:54Z,2026-06-11T13:21:54Z,0,3,2026-06-16,2026-06-17,I see a song from 2026 my first fear is ai slop.
UgySV_t1DkyIrI7dyfR4AaABAg.AXv7BgZ6Cy4AXv8YA5oOlT,10ZSa-TPOC4,Boccherini - Minuet,1,UgySV_t1DkyIrI7dyfR4AaABAg,1,@AtelierMikuACappella,UC_SN5FvHsLFRvgK56gict5g,2026-06-11T13:33:42Z,2026-06-11T13:33:42Z,0,0,2026-06-16,2026-06-17,Oh I made these songs with Miku V6 & the VOCALOID6 editor. Glad you stopped by!
UgySV_t1DkyIrI7dyfR4AaABAg.AXv7BgZ6Cy4AXv9Hm91c0P,10ZSa-TPOC4,Boccherini - Minuet,1,UgySV_t1DkyIrI7dyfR4AaABAg,0,@FatalGIF,UCoXUpy5rCl2cGaYAxfhQ4Hw,2026-06-11T13:40:12Z,2026-06-11T13:40:12Z,0,0,2026-06-16,2026-06-17,​@AtelierMikuACappella ahaa.. thats nice! this is a very nice project youve made btw
UgySV_t1DkyIrI7dyfR4AaABAg.AXv7BgZ6Cy4AXvC2RwjBV6,10ZSa-TPOC4,Boccherini - Minuet,1,UgySV_t1DkyIrI7dyfR4AaABAg,1,@AtelierMikuACappella,UC_SN5FvHsLFRvgK56gict5g,2026-06-11T14:04:20Z,2026-06-11T14:04:20Z,0,0,2026-06-16,2026-06-17,Miku can sing anything. Thank you for your comment!
UgxsdEnSG2Pn-xCE43V4AaABAg,10ZSa-TPOC4,Boccherini - Minuet,0,,0,@sixteenthes,UCuxrvfI4NLe18cpbafHZ2tQ,2026-06-15T02:12:18Z,2026-06-15T02:12:18Z,0,0,2026-06-16,2026-06-17,finally... I know the name of this piece... after all this time...
Ugz_NeK909DfrAYm1_p4AaABAg,xHzbkP_Wcm0,Handel - Lascia ch'io pianga,0,,0,@IryanDAno,UCuHKFa0fBJfKJkwA6V-iZEg,2026-06-15T09:50:08Z,2026-06-15T09:50:08Z,0,0,2026-06-16,2026-06-17,Such masterpiece
