measured_on,window_days,country,country_label,views,avg_view_pct
2026-05-22,28,US,미국,16,15.58
2026-05-22,28,GB,영국,10,32.28
2026-05-23,28,US,미국,16,15.58
2026-05-23,28,GB,영국,10,32.28
2026-05-29,28,US,미국,69,27
2026-05-29,28,JP,일본,11,15.93
2026-05-29,28,GB,영국,10,32.28
2026-05-29,28,KR,한국,10,19.07
2026-06-01,28,US,미국,68,27.33
2026-06-01,28,JP,일본,11,15.93
2026-06-01,28,GB,영국,10,32.28
2026-06-01,28,KR,한국,10,19.07
2026-06-05,28,US,미국,68,27.33
2026-06-05,28,JP,일본,11,15.93
2026-06-05,28,GB,영국,10,32.28
2026-06-05,28,KR,한국,10,19.07
2026-06-08,28,US,미국,68,27.33
2026-06-08,28,KR,한국,24,35.38
2026-06-08,28,JP,일본,11,15.93
2026-06-08,28,GB,영국,10,32.28
