measured_on,total_subscribers,total_views,total_videos,source
2026-05-13,0,5,0,reconstructed
2026-05-14,3,95,1,reconstructed
2026-05-15,4,112,1,reconstructed
2026-05-16,5,128,1,reconstructed
2026-05-17,5,138,1,reconstructed
2026-05-18,5,148,2,reconstructed
2026-05-19,5,164,2,reconstructed
2026-05-20,5,166,2,reconstructed
2026-05-21,7,269,3,reconstructed
2026-05-22,8,276,3,reconstructed
2026-05-23,7,278,3,reconstructed
2026-05-24,7,279,3,reconstructed
2026-05-25,7,318,4,reconstructed
2026-05-26,8,324,4,reconstructed
2026-05-27,8,342,4,reconstructed
2026-05-28,9,363,5,reconstructed
2026-05-29,11,400,5,reconstructed
2026-05-30,11,454,5,reconstructed
2026-05-31,11,473,5,reconstructed
2026-06-01,11,494,6,reconstructed
2026-06-02,11,503,6,reconstructed
2026-06-03,11,520,6,reconstructed
2026-06-04,11,533,7,reconstructed
2026-06-05,11,540,7,reconstructed
2026-06-06,11,568,7,reconstructed
2026-06-07,11,586,7,reconstructed
2026-06-08,11,648,8,reconstructed
2026-06-09,12,698,8,reconstructed
2026-06-10,12,711,8,reconstructed
2026-06-11,13,808,9,reconstructed
2026-06-12,13,828,9,reconstructed
2026-06-13,14,872,9,reconstructed
2026-06-14,14,889,9,reconstructed
2026-06-15,15,923,10,reconstructed
2026-06-16,15,941,10,reconstructed
2026-06-17,14,954,10,reconstructed
2026-06-18,14,985,11,reconstructed
2026-06-19,14,995,11,reconstructed
2026-06-20,14,1019,11,reconstructed
2026-06-21,14,1034,11,reconstructed
2026-06-22,14,1176,12,reconstructed
2026-06-23,15,1194,12,reconstructed
2026-06-24,15,1205,12,reconstructed
2026-06-25,15,1233,13,reconstructed
2026-06-26,15,1244,13,reconstructed
2026-06-27,16,1257,13,reconstructed
2026-06-28,16,1271,13,reconstructed
2026-06-29,16,1338,14,reconstructed
2026-07-02,17,1353,14,snapshot
