measured_on,window_days,query,views
2026-05-22,28,vocaloid6,1
2026-05-23,28,vocaloid6,1
2026-05-29,28,vocaloid6,1
2026-06-01,28,ah vous dirai-je maman,1
2026-06-01,28,hatsune miku v6,1
2026-06-01,28,miku v6,1
2026-06-01,28,vocaloid6,1
2026-06-05,28,vocaloid6,4
2026-06-05,28,salut d'amour,3
2026-06-05,28,miku v6,2
2026-06-05,28,ah vous dirai-je maman,1
2026-06-05,28,hatsune miku v6,1
2026-06-05,28,初音ミク,1
2026-06-08,28,vocaloid6,4
2026-06-08,28,miku v6,3
2026-06-08,28,salut d'amour,3
2026-06-08,28,ah vous dirai-je maman,1
2026-06-08,28,canon in d,1
2026-06-08,28,chopin op 9 no 2,1
2026-06-08,28,hatsune miku v6,1
2026-06-08,28,初音ミク,1
2026-06-10,28,vocaloid6,4
2026-06-10,28,miku v6,3
2026-06-10,28,salut d'amour,3
2026-06-10,28,canon in d,2
2026-06-10,28,ah vous dirai-je maman,1
2026-06-10,28,chopin op 9 no 2,1
2026-06-10,28,hatsune miku v6,1
2026-06-10,28,初音ミク,1
2026-06-12,28,miku v6,4
2026-06-12,28,vocaloid6,4
2026-06-12,28,salut d'amour,3
2026-06-12,28,canon in d,2
2026-06-12,28,ah vous dirai-je maman,1
2026-06-12,28,chopin op 9 no 2,1
2026-06-12,28,hatsune miku v6,1
2026-06-12,28,vocaloid,1
2026-06-12,28,初音ミク,1
2026-06-17,28,miku v6,8
2026-06-17,28,vocaloid6,4
2026-06-17,28,salut d'amour,3
2026-06-17,28,canon in d,2
2026-06-17,28,初音ミク,2
2026-06-17,28,ah vous dirai-je maman,1
2026-06-17,28,chopin op 9 no 2,1
2026-06-17,28,gymnopédie,1
2026-06-17,28,hatsune miku v6,1
2026-06-17,28,miku v6 cover,1
2026-06-17,28,vocaloid,1
2026-06-17,28,パッヘルベル カノン,1
