measured_on,window_days,start_date,end_date,scope,video_id,impressions,ctr_pct,views,thumbnail_era
2026-05-23,28,2026-04-24,2026-05-21,CHANNEL,,28030,0.6,271,pre_v4
2026-05-23,28,2026-04-24,2026-05-21,Gymnopédie No. 1,rRnl8RZ3EjY,13505,0.6,136,pre_v4
2026-05-23,28,2026-04-24,2026-05-21,Joplin - Entertainer,DVIYl09zX-w,13484,0.5,91,pre_v4
2026-05-23,28,2026-04-24,2026-05-21,Vivaldi - Spring I,0qXLYmZXAx0,945,1.5,29,pre_v4
2026-06-05,28,2026-05-08,2026-06-05,CHANNEL,,34088,0.9,534,post_v4
2026-06-05,28,2026-05-08,2026-06-05,Gymnopédie No. 1,rRnl8RZ3EjY,13624,0.7,165,post_v4
2026-06-05,28,2026-05-08,2026-06-05,Joplin - Entertainer,DVIYl09zX-w,13816,0.6,125,post_v4
2026-06-05,28,2026-05-08,2026-06-05,Mozart - K.265,PiR9hy6xmGQ,2369,2.5,108,post_v4
2026-06-05,28,2026-05-08,2026-06-05,Vivaldi - Spring I,0qXLYmZXAx0,979,2.5,49,post_v4
2026-06-05,28,2026-05-08,2026-06-05,Elgar - Salut d'Amour,zshjmBhus2I,2790,1.1,48,post_v4
2026-06-05,28,2026-05-08,2026-06-05,Chopin - Nocturne Op.9-2,9EvpHXE3D1s,302,3.0,21,post_v4
2026-06-05,28,2026-05-08,2026-06-05,Pachelbel - Canon in D,B9ENEwjgAhc,1,0,1,post_v4
2026-06-15,28,2026-05-19,2026-06-15,CHANNEL,,27000,1.7,,post_v4
