measured_on,window_days,source_type,source_label,views,watch_minutes,avg_view_sec,share_pct
2026-05-22,28,RELATED_VIDEO,추천 영상,98,45,27,59.8
2026-05-22,28,SUBSCRIBER,구독 피드·홈,23,11,30,14.0
2026-05-22,28,NO_LINK_OTHER,직접·알 수 없음,11,6,36,6.7
2026-05-22,28,YT_CHANNEL,채널 페이지,10,5,31,6.1
2026-05-22,28,EXT_URL,외부 링크,9,4,27,5.5
2026-05-22,28,YT_OTHER_PAGE,기타 YT 페이지,6,5,59,3.7
2026-05-22,28,YT_SEARCH,YouTube 검색,4,4,71,2.4
2026-05-22,28,PLAYLIST,재생목록,3,7,140,1.8
2026-05-23,28,RELATED_VIDEO,추천 영상,98,45,27,59.8
2026-05-23,28,SUBSCRIBER,구독 피드·홈,23,11,30,14.0
2026-05-23,28,NO_LINK_OTHER,직접·알 수 없음,11,6,36,6.7
2026-05-23,28,YT_CHANNEL,채널 페이지,10,5,31,6.1
2026-05-23,28,EXT_URL,외부 링크,9,4,27,5.5
2026-05-23,28,YT_OTHER_PAGE,기타 YT 페이지,6,5,59,3.7
2026-05-23,28,YT_SEARCH,YouTube 검색,4,4,71,2.4
2026-05-23,28,PLAYLIST,재생목록,3,7,140,1.8
